cell	celltype	TREATMENT
Immunodeficiency7828179	USM B-cells	CVID
Immunodeficiency7828180	Naive B-cells	CVID
Immunodeficiency7828181	USM B-cells	CVID
Immunodeficiency7828182	Naive B-cells	CVID
Immunodeficiency7828183	USM B-cells	CVID
Immunodeficiency7828184	Naive B-cells	CVID
Immunodeficiency7828185	USM B-cells	CVID
Immunodeficiency7828186	SM B-cells	CVID
Immunodeficiency7828187	USM B-cells	CONTROL
Immunodeficiency7828188	SM B-cells	CVID
Immunodeficiency7828189	USM B-cells	CONTROL
Immunodeficiency7828190	SM B-cells	CVID
Immunodeficiency7828191	USM B-cells	CONTROL
Immunodeficiency7828192	SM B-cells	CVID
Immunodeficiency7828193	USM B-cells	CONTROL
Immunodeficiency7828194	SM B-cells	CVID
Immunodeficiency7828195	USM B-cells	CONTROL
Immunodeficiency7828196	SM B-cells	CVID
Immunodeficiency7828197	USM B-cells	CONTROL
Immunodeficiency7828198	SM B-cells	CVID
Immunodeficiency7828199	USM B-cells	CONTROL
Immunodeficiency7828200	SM B-cells	CVID
Immunodeficiency7828201	USM B-cells	CONTROL
Immunodeficiency7828202	Naive B-cells	CVID
Immunodeficiency7828203	USM B-cells	CVID
Immunodeficiency7828204	Naive B-cells	CVID
Immunodeficiency7828205	USM B-cells	CVID
Immunodeficiency7828206	Naive B-cells	CVID
Immunodeficiency7828207	USM B-cells	CVID
Immunodeficiency7828208	Naive B-cells	CVID
Immunodeficiency7828209	USM B-cells	CVID
Immunodeficiency7828210	Naive B-cells	CVID
Immunodeficiency7828211	USM B-cells	CVID
Immunodeficiency7828212	Naive B-cells	CVID
Immunodeficiency7828213	USM B-cells	CVID
Immunodeficiency7828214	Naive B-cells	CVID
Immunodeficiency7828215	USM B-cells	CVID
Immunodeficiency7828216	Naive B-cells	CVID
Immunodeficiency7828217	USM B-cells	CVID
Immunodeficiency7828218	SM B-cells	CVID
Immunodeficiency7828219	USM B-cells	CONTROL
Immunodeficiency7828220	SM B-cells	CVID
Immunodeficiency7828221	USM B-cells	CONTROL
Immunodeficiency7828222	SM B-cells	CVID
Immunodeficiency7828223	USM B-cells	CONTROL
Immunodeficiency7828224	SM B-cells	CVID
Immunodeficiency7828225	USM B-cells	CONTROL
Immunodeficiency7828226	SM B-cells	CVID
Immunodeficiency7828227	USM B-cells	CONTROL
Immunodeficiency7828228	SM B-cells	CVID
Immunodeficiency7828229	USM B-cells	CONTROL
Immunodeficiency7828230	SM B-cells	CVID
Immunodeficiency7828231	USM B-cells	CONTROL
Immunodeficiency7828232	SM B-cells	CVID
