,cell,uniq_frags,frip,frac_open,mapping_rate,sequencing_depth,dup_level,mt_content,library_size,plate,celltype,TREATMENT
607,Immunodeficiency7828265,6923.0,0.8089569999999999,0.08001799999999999,95.57,43716,0.806808,0.031070999999999998,7193,,USM B-cells,CONTROL
608,Immunodeficiency7828266,37707.0,0.793718,0.264442,95.96,352420,0.872502,0.041022,39338,,Naive B-cells,CVID
609,Immunodeficiency7828267,33767.0,0.807982,0.25522399999999995,96.0,346731,0.8885780000000001,0.023143,34572,,USM B-cells,CVID
610,Immunodeficiency7828268,29671.0,0.760742,0.21043699999999999,95.72,251773,0.860801,0.036374000000000004,30819,,Naive B-cells,CVID
611,Immunodeficiency7828269,25392.0,0.79886,0.206013,95.76,215153,0.865009,0.012023,25720,,USM B-cells,CVID
612,Immunodeficiency7828270,34934.0,0.737286,0.239427,95.79,308535,0.869501,0.022196,35747,,Naive B-cells,CVID
613,Immunodeficiency7828271,23184.0,0.791536,0.192404,95.52,225855,0.876083,0.052438,24476,,USM B-cells,CVID
614,Immunodeficiency7828272,41422.0,0.773515,0.273725,96.05,384951,0.869533,0.073022,44710,,Naive B-cells,CVID
615,Immunodeficiency7828273,16525.0,0.808507,0.15590199999999999,95.5,162544,0.8698520000000001,0.11360799999999999,18653,,USM B-cells,CVID
616,Immunodeficiency7828274,35450.0,0.764297,0.25286,95.86,321693,0.8727600000000001,0.025805,36406,,Naive B-cells,CVID
617,Immunodeficiency7828275,50251.0,0.732256,0.324094,95.64,516788,0.887545,0.017172,51138,,USM B-cells,CVID
618,Immunodeficiency7828276,25602.0,0.760533,0.192597,95.26,241096,0.8709309999999999,0.063638,27357,,Naive B-cells,CVID
619,Immunodeficiency7828277,16324.0,0.821953,0.155548,95.84,144402,0.8681709999999999,0.025666,16764,,USM B-cells,CVID
620,Immunodeficiency7828278,30097.0,0.822664,0.236756,95.7,255064,0.864825,0.008859,30388,,Naive B-cells,CVID
621,Immunodeficiency7828279,15448.0,0.801109,0.144013,95.62,136485,0.862936,0.047889,16238,,USM B-cells,CVID
