"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"	"Topic10"	"Topic11"	"Topic12"	"Topic13"	"Topic14"	"Topic15"	"Topic16"	"Topic17"	"Topic18"	"celltype"	"TREATMENT"
"Immunodeficiency7827700"	0.0311532635184087	0.158479878811829	0.0428900744253441	0.024277152077982	0.0329315682012777	0.0252255812421788	0.0379108213133109	0.165355990252256	0.105130738325759	0.0271224395705724	0.0302048343542119	0.0364881775670157	0.0571165118882961	0.0497661858657709	0.021313310939867	0.0323387999736547	0.0746624514259369	0.0476322202463281	"SM B-cells"	"CONTROL"
"Immunodeficiency7827701"	0.0233113108009545	0.100234387724031	0.0512254016810769	0.0545394033380777	0.0601477138345407	0.0398175882848625	0.0171931538957222	0.0985773868955311	0.0741047592746019	0.0814975322017576	0.00852576494664316	0.0121584206091248	0.0679866023693696	0.0603389062378292	0.0673492943584079	0.0534559797194429	0.0788845693568146	0.0506518244712114	"USM B-cells"	"CONTROL"
"Immunodeficiency7827702"	0.0467516697024894	0.101904802247921	0.0531692577060476	0.0415413507293035	0.0501828553677582	0.039063272193276	0.0410965674023242	0.110546306886376	0.0815718501574392	0.010533598791319	0.0717230764886121	0.0348060603493314	0.0658773527625987	0.0544400672117027	0.0200646700837322	0.0529786362801994	0.0787125287697152	0.045036076869855	"SM B-cells"	"CONTROL"
"Immunodeficiency7827703"	0.0450614406936399	0.112376175363059	0.0513867619533776	0.0404672599891989	0.0408667539634981	0.0350075090071095	0.0587774004779132	0.113175163311657	0.0881402075889059	0.015765215911697	0.0657685450281495	0.0250867419786789	0.0688979144934934	0.0641039868019028	0.0131685050787521	0.0431971354802435	0.0801503281029215	0.0386029547758025	"USM B-cells"	"CONTROL"
"Immunodeficiency7827704"	0.0271782573940847	0.131845742917861	0.0438478485504279	0.028669747129126	0.0291084205806087	0.0234934004016299	0.0660447251954534	0.154919966465852	0.0821001735197208	0.0121756253533758	0.0610438478485504	0.0579731336881714	0.0679748883819773	0.0512175625353376	0.0048059113684662	0.041917685363904	0.0903472344075959	0.0253358288978573	"SM B-cells"	"CONTROL"
"Immunodeficiency7827705"	0.032932634995347	0.110526599140152	0.042623228198088	0.0467071210478146	0.0469147766164448	0.0339709128384978	0.0407543280804165	0.126031548264538	0.0833237196496005	0.0343170054528814	0.0484375841197327	0.0174276858709613	0.0717642263291879	0.0501680471916507	0.0258031271390446	0.0496142990086369	0.0901763534143959	0.0485068026426094	"USM B-cells"	"CONTROL"
"Immunodeficiency7827706"	0.0516983689345624	0.118871900557923	0.0400014853185544	0.025881675810659	0.0340694943418646	0.0270513641722598	0.0608887774899973	0.131237177523417	0.0767631195402939	0.017109013098653	0.0808570288058967	0.051113524753762	0.0533693523082779	0.0523667622840486	0.0141012430259652	0.047103164656845	0.0737553494676061	0.0437611979094141	"SM B-cells"	"CONTROL"
"Immunodeficiency7827707"	0.0392824855019735	0.0745077286057639	0.0580362064783577	0.0590780798659346	0.0592765319397588	0.0677107450772861	0.0446406914952261	0.0741108244581156	0.0562501378139402	0.013235650812551	0.0609633745672642	0.0864644660536703	0.0589292408105665	0.0593261449582148	0.0183457917135234	0.061906021917929	0.0697448788339838	0.0381909990959406	"SM B-cells"	"CVID"
"Immunodeficiency7827708"	0.052927906089812	0.0876594204303786	0.0509498968978869	0.0451322228039896	0.0434450973167594	0.0414670881248344	0.071951700376856	0.0975494663900039	0.0735806491231472	0.00964441083121635	0.0832379881190167	0.0615380637487799	0.0600836452253056	0.0509498968978869	0.0164510895210761	0.0482155900737552	0.0692755702936633	0.035940297735632	"SM B-cells"	"CONTROL"
"Immunodeficiency7827709"	0.0232259371064406	0.0843411618031428	0.0599634207312057	0.0528437533620651	0.0608747381544556	0.0707853151322992	0.0339908741685811	0.0948213121705176	0.0718105472334555	0.00408827121819091	0.0364969970825185	0.112250257890174	0.048173251567909	0.0554637909539089	0.0186693499901907	0.0630960743736275	0.0728357793346117	0.036269167726706	"SM B-cells"	"CVID"
"Immunodeficiency7827710"	0.0404008632364377	0.12493337876683	0.0363904834298795	0.0381204511895713	0.0449616873301705	0.0367050230225507	0.0643845071776188	0.112273160161813	0.0880536115261286	0.0163385843970888	0.050859304692756	0.0729557110779097	0.0551055891938176	0.0479498134605471	0.0114632207106847	0.0404008632364377	0.0820773592653753	0.0366263881243829	"SM B-cells"	"CONTROL"
"Immunodeficiency7827711"	0.026791489845677	0.100939017195175	0.055836336624514	0.035556124226075	0.0483512109127873	0.0436810042721373	0.0438089551390044	0.104713567767755	0.0729177773512749	0.0197541921679853	0.0502704739157941	0.0924302845485112	0.0546208033892763	0.0541089999218078	0.026215710944775	0.0466878496435147	0.0798910995955331	0.043425102538403	"SM B-cells"	"CVID"
"Immunodeficiency7827712"	0.0639854228747722	0.0911004545484446	0.0484150007564844	0.0402449693788276	0.0514343601786619	0.0366335786973997	0.0560522040008157	0.0945342358520974	0.075826048059782	0.0305356567271196	0.0616172978377703	0.0368703912010999	0.0607884540748196	0.0572954696452417	0.0314237036159954	0.0476453601194588	0.0705569698524527	0.0450404225787566	"SM B-cells"	"CONTROL"
"Immunodeficiency7827713"	0.0319728791344512	0.0878340485327385	0.0583438880382112	0.0648090386081653	0.0598751079100424	0.0561888378482265	0.0345249122541699	0.0862461168138024	0.071784595802063	0.0126908511187987	0.0472283660056586	0.0853387272601246	0.0628808358066	0.0616898870173979	0.010535800928814	0.0617465988645028	0.0683818849757714	0.0379276230804615	"SM B-cells"	"CVID"
"Immunodeficiency7827714"	0.0480841157848752	0.0768986792577033	0.055570516388096	0.0466299228619474	0.0559475293681143	0.0446371399675649	0.0619258780512618	0.0828231689437054	0.0667731877943544	0.0197004242892108	0.0687659706887369	0.0452834479333106	0.0663961748143361	0.0526082715450949	0.0403822791930725	0.0533084385079861	0.0684428167058641	0.0458220379047653	"SM B-cells"	"CONTROL"
"Immunodeficiency7827715"	0.046887677557224	0.0752225536242815	0.0594352451803856	0.0522358211343093	0.0631378061183677	0.0597437919252174	0.0500245694630144	0.0754796759116414	0.0636006262356154	0.00651947844172466	0.0652976333321906	0.0691030431851166	0.0640634463528632	0.0592809718079697	0.0209183265338773	0.0576868136263385	0.0666860936839339	0.0446764258859291	"SM B-cells"	"CVID"
"Immunodeficiency7827716"	0.0562702732420694	0.10117378635439	0.0511366760129749	0.0486626532519655	0.0419209412282149	0.0419827917972401	0.0537343999120347	0.101235636923415	0.0766809610203969	0.0182321732915498	0.0599813073835835	0.0460030787838804	0.0653623068887789	0.0584350431579526	0.0173044147561713	0.0518170322722525	0.0727843751718071	0.0372821485513222	"SM B-cells"	"CONTROL"
"Immunodeficiency7827717"	0.0422601363777834	0.0729706023823671	0.0579464108875874	0.0551962199021023	0.0612058965000142	0.0577936224995049	0.0516820869762046	0.0749059219647455	0.0640070169481934	0.00803553744730215	0.06054381348499	0.105361740655858	0.0554508672155731	0.0628865687689217	0.0200039611804318	0.0543304190363014	0.0630902866196984	0.0323288911524206	"SM B-cells"	"CVID"
"Immunodeficiency7827718"	0.0403124374696281	0.100320155504102	0.0474516193579739	0.0488022753909042	0.0479661549895664	0.0392833662064431	0.0576780150358746	0.112218791984678	0.0826329931681102	0.0141354372123603	0.0575493811279764	0.0473873024040248	0.0629520052596976	0.054976702970014	0.0206957665151645	0.0462295972329417	0.0814752879970271	0.0379327101735129	"SM B-cells"	"CONTROL"
"Immunodeficiency7827719"	0.0530361678143123	0.097773974928357	0.0534028711513127	0.0501025411183094	0.0455187494058048	0.0425240054869685	0.0408127232476334	0.0996074916133589	0.0670320118431596	0.0143489657607736	0.0668486601746594	0.0606147034456532	0.0658707846093251	0.0511415339064771	0.0290782164636217	0.0469244455309729	0.0711879829958305	0.0441741705034701	"SM B-cells"	"CVID"
"Immunodeficiency7827720"	0.0291070887401163	0.152216436620106	0.0351819709617875	0.0203047083781029	0.0237760696476293	0.0138578945918395	0.0517949141802353	0.166349836074607	0.0860126181227099	0.0155935752266027	0.0619610436124198	0.0604733173540513	0.060721271730446	0.028363225610932	0.014353803344629	0.056382070143538	0.0894839793922363	0.0340661762680111	"SM B-cells"	"CONTROL"
